Year,Overall,Male,Female
1975,77.33,84.36,69.98
1976,77.34,84.35,70.03
1977,77.52,84.42,70.31
1978,78.04,84.64,71.15
1979,78.54,84.84,71.96
1980,78.98,84.97,72.74
1981,79.38,85.09,73.46
1982,79.87,85.24,74.3
1983,80.2,85.36,74.82
1984,80.62,85.51,75.53
1985,80.98,85.63,76.15
1986,81.31,85.72,76.71
1987,81.91,86.12,77.53
1988,82.52,86.96,77.9
1989,82.84,87.14,78.35
1990,83.16,87.29,78.84
1991,83.36,87.43,79.17
1992,83.67,87.63,79.55
1993,83.92,87.87,79.79
1994,84.19,87.99,80.22
1995,84.46,88.12,80.64
1996,84.72,88.23,81.07
1997,85.54,88.69,82.26
1998,86.26,89.62,82.78
1999,86.57,89.76,83.25
2000,86.57,89.75,83.28
2001,86.88,89.85,83.76
2002,87.39,90.32,84.35
2003,87.88,90.78,84.88
2004,88.34,91.06,85.52
2005,88.48,91.36,85.45
2006,88.76,91.55,86.09
2007,88.67,91.07,86.11
2008,89.45,91.88,86.88
2009,89.52,91.86,87.06
2010,89.57,91.73,87.29
2011,89.78,91.77,87.71
2012,90.34,92.22,88.35
2013,90.67,92.43,88.79
2014,90.99,92.64,89.26
2015,91.03,92.54,89.43
2016,91.45,92.83,89.99
2017,91.63,92.92,90.26
2018,91.55,92.74,90.27
2019,91.73,92.85,90.54
2020,91.88,92.92,90.78
